EmpCode,ContractType,EmployeeType,Unit,WorkPlace,DateStart,DateEnd,,,,
A110308,013,201,A1110,10027,2023-04-20,NULL,,,,
A110309,002,201,A1220,A001017,2017-09-01,2017-10-27,,,,
A110310,002,201,A1110,A2321,2017-09-01,2017-10-20,,,,
A110311,002,201,A1220,A3037,2017-09-16,2017-11-17,,,,
A110312,002,201,A1220,A2613,2018-05-30,2018-06-03,,,,
A110313,002,201,A1220,A001017,2018-05-30,2018-12-31,,,,
A110314,002,201,A1110,A2321,2018-06-25,2018-07-09,,,,
A110315,002,201,A1120,A2321,2018-08-21,2018-11-13,,,,
A110350,002,201,A1220,A001075,2013-05-20,2013-08-31,,,,
A110400,002,201,ALN1320,A2431,2015-06-23,2015-08-12,,,,
A110401,002,201,ALN2120,A2321,2020-07-01,2020-11-03,,,,
A110402,002,201,ALN1121,A2321,2019-06-04,2019-10-31,,,,
A110403,001,101,ALN12201,A001073,2020-03-01,2020-08-30,,,,
A110404,004,301,ALN2110,A2364,2020-08-03,2020-09-08,,,,
A110405,002,201,A1220,A2432,2020-08-05,2020-08-08,,,,
A110406,002,201,A3230,A001079,2021-06-28,2021-12-17,,,,
A110407,002,201,A1220,A001017,2021-06-28,2021-12-17,,,,
A110408,013,201,A1220,A2432,2021-09-02,2021-10-14,,,,
A110409,013,201,A3230,10050,2022-06-25,2022-09-16,,,,
A110410,013,201,A3230,10021,2022-06-28,2022-12-06,,,,
A110411,013,201,A1210,10021,2022-06-25,2022-11-14,,,,
A120050,NULL,,ALN,A001118,2011-06-01,2011-10-02,,,,
A120051,006,201,A1110,A2321,2013-08-04,2013-09-19,,,,
A120052,002,201,A1110,A2321,2014-07-27,2014-09-19,,,,
A120053,002,201,A1110,A001011,2015-06-23,2015-12-04,,,,
A120054,002,201,A1110,A2321,2015-08-25,2015-09-04,,,,
A120055,002,201,A1110,A2321,2015-08-25,2015-09-07,,,,
A120056,002,201,A1110,A2321,2016-07-10,2016-10-10,,,,
A120057,002,201,A1110,A2321,2016-08-12,2016-09-19,,,,
A120058,002,201,A1220,A3037,2018-06-12,2018-11-28,,,,
A120059,002,201,A1110,A2321,2017-05-09,2017-10-05,,,,
A120060,002,201,A1220,A2432,2017-05-09,2017-12-22,,,,
A120061,006,601,ALN,A001052,2018-07-11,2018-08-10,,,,
A120070,002,201,A1120,A2321,2021-08-04,2021-09-01,,,,
A120161,002,201,A1220,A001075,2017-06-23,2017-11-15,,,,
A120162,002,201,A1220,A001017,2017-10-16,2017-11-17,,,,
A120163,002,201,A1110,A2321,2018-05-01,2018-06-11,,,,
A120164,002,201,A2220,A3037,2018-06-01,2018-06-02,,,,
A120165,002,201,A1120,A2321,2021-07-10,2021-10-08,,,,
A120166,002,201,A1110,A2321,2018-07-09,2018-07-30,,,,
A120167,004,301,A1220,A001017,2019-07-09,2019-08-07,,,,
A120168,004,301,A1220,A2351,2019-07-29,2019-08-31,,,,
A120169,002,201,A3230,A3037,2018-08-10,2018-10-23,,,,
A120200,,201,A1220,A001075,2012-05-24,2012-09-18,,,,
A120201,002,201,A2110,A2233,2014-07-11,2014-09-19,,,,
A120300,,,ALN,A001076,2011-07-17,2011-09-06,,,,
A120301,002,201,ALN1121,A2321,2019-05-29,2019-11-30,,,,
A120302,004,301,A1220,A2221,2019-07-10,2019-09-20,,,,
A130050,,,ALN,A001075,2008-04-26,2008-11-19,,,,
A130100,NULL,,ALN,A2351,2010-05-01,2010-11-26,,,,
A130101,002,201,A2220,A001025,2014-07-18,2014-08-27,,,,
A130102,002,201,ALN1320,A2431,2015-08-11,2015-09-05,,,,
A130103,002,201,A1350,A001113,2017-05-15,2017-12-21,,,,
A130104,002,201,A1240,A001079,2019-04-25,2019-12-31,,,,
A130105,002,201,A1110,A2321,2018-05-22,2018-07-25,,,,
A130106,002,201,A1110,A2321,2018-05-14,2018-07-20,,,,
A130107,002,201,A1220,A001017,2018-07-27,2018-11-12,,,,
A130108,002,201,A1220,10031,2022-05-16,2022-12-14,,,,
A130109,006,401,A1120,10015,2022-06-23,2022-08-09,,,,
A140040,001,101,A0700,A3044,1989-08-16,2020-01-31,,,,
A140041,006,401,ALN1320,A2431,2013-06-24,2013-09-28,,,,
A140045,006,401,A1390,A2221,2013-07-17,2013-08-24,,,,
A140046,002,201,A2110,A2233,2015-06-01,2015-06-30,,,,
A140047,002,201,A1220,A2221,2015-07-07,2015-08-13,,,,
A140048,002,201,A1220,A2221,2015-08-17,2015-09-23,,,,
A140049,002,201,A1110,A2321,2016-05-20,2016-07-15,,,,
A140050,001,101,A1110,10027,2020-01-01,NULL,,,,
A140051,NULL,,ALN,A001052,2008-07-18,2008-09-17,,,,
A140052,002,201,A1220,A2221,2014-04-24,2014-09-26,,,,
A140053,NULL,201,A1110,A2321,2012-05-24,2012-09-30,,,,
A140054,,201,A2110,A001052,2012-07-06,2012-09-15,,,,
A140055,NULL,201,A1220,A2221,2012-07-07,2012-09-18,,,,
A140056,004,301,A1110,A001085,2015-07-02,2015-08-09,,,,
A140057,004,301,A1220,A2221,2014-08-01,2014-08-22,,,,
A140058,002,201,A1220,A3037,2018-05-14,2018-12-06,,,,
A140059,001,101,A0700,10025,2022-04-01,NULL,,,,
A140060,,,ALN,A2221,2011-06-14,2011-09-11,,,,
A140061,002,201,A1220,10023,2022-05-09,2022-11-24,,,,
A140062,002,201,A0700,10078,2022-05-30,2022-11-07,,,,
A140100,NULL,,ALN,A001021,2007-07-24,2007-08-31,,,,
A140101,006,401,A1220,A2332,2017-07-07,2017-08-17,,,,
A140102,002,201,A0700,A001063,2020-07-10,2020-09-14,,,,
A140103,004,301,A1220,A2332,2016-07-26,2016-09-30,,,,
A140105,002,201,A1220,A2432,2017-06-30,2017-07-05,,,,
A140106,002,201,A0700,10078,2022-05-22,2022-12-02,,,,
A140107,013,201,A1120,10015,2022-06-04,2022-10-24,,,,
A140108,013,201,A1240,10050,2023-05-19,NULL,,,,
A140109,013,201,A3230,10050,2022-06-25,2022-11-30,,,,
A140110,013,201,A1120,10015,2022-06-29,2022-11-14,,,,
A140111,013,201,A3230,10050,2022-07-12,2022-08-04,,,,
A140150,NULL,,ALN,A2364,2009-05-12,2009-09-25,,,,
A140200,001,101,A0700,A2365,2009-02-09,2015-02-28,,,,
A140250,NULL,,ALN,A001023,2010-06-18,2010-09-09,,,,
A140251,002,201,A1230,A2351,2014-04-01,2014-12-16,,,,
A140350,002,201,A0700,A001066,2021-08-01,2021-11-11,,,,
A140360,NULL,,ALN,A2221,2009-06-19,2009-09-18,,,,
A140370,002,201,A1110,A001011,2013-05-24,2013-09-25,,,,
A140400,NULL,,ALN,A2411,2009-03-13,2010-01-12,,,,
A140450,NULL,,ALN,A001021,2007-05-26,2007-06-24,,,,
A140451,002,201,ALN2110,A001011,2019-04-30,2020-02-29,,,,
A140452,002,201,ALN1121,A2321,2019-05-08,2019-12-20,,,,
A140453,002,201,A1220,A3037,2019-05-14,2019-12-17,,,,
A140454,002,201,A1350,A001113,2019-05-28,2019-12-09,,,,
A140455,013,201,A1120,10015,2022-06-29,2022-11-14,,,,
A140456,006,401,A1220,A2613,2018-12-01,2018-12-01,,,,
A140457,007,,A3230,,2021-03-10,NULL,,,,
A140458,013,201,A1220,10020,2023-05-15,NULL,,,,
A140459,002,201,A1120,A2321,2021-06-28,2021-12-14,,,,
A140460,002,201,A1220,A3037,2021-07-12,2021-09-02,,,,
A140461,002,201,A3230,A2351,2021-08-04,2021-08-31,,,,
A140462,006,401,A1210,10021,2022-06-16,2022-07-04,,,,
A140463,013,201,A3230,10050,2022-06-28,2022-11-11,,,,
A150050,001,101,A0700,A2812,2020-01-01,2021-11-24,,,,
A150051,002,201,ALN2120,A2233,2021-06-15,2021-06-25,,,,
A150055,001,101,A0450,10074,2020-01-01,2022-05-31,,,,
A150060,001,101,A1120,A2622,2002-10-17,2016-05-31,,,,
A150062,NULL,,ALN,A2221,2010-07-23,2010-08-31,,,,
A150063,001,101,A0410,10138,2021-04-01,2023-03-10,,,,
A150070,013,201,A1220,10031,2023-04-24,NULL,,,,
A150071,,,ALN,A2612,2008-01-01,2012-02-15,,,,
A150072,NULL,201,A1220,A2221,2012-06-26,2012-08-31,,,,
A150080,002,201,A0700,A001063,2015-07-01,2015-08-31,,,,
A150081,NULL,,ALN,A2411,2008-06-01,2008-11-11,,,,
A150082,NULL,,ALN,A2321,2008-07-01,2008-07-14,,,,
A150083,NULL,,ALN,A001025,2010-07-06,2010-10-31,,,,
A150084,002,201,A2110,A2321,2018-06-13,2018-11-14,,,,
A150085,NULL,,ALN,A001085,2010-06-20,2010-09-09,,,,
A150090,NULL,201,A1390,A001063,2012-07-13,2012-08-21,,,,
A150095,,201,A2220,A3024,2012-07-07,2012-09-16,,,,
A150100,,101,ALNO640,A2811,1999-03-01,2012-05-31,,,,
A150101,002,201,A1110,A2321,2016-03-24,2017-02-24,,,,
A150102,006,401,A1220,A2221,2014-06-19,2014-08-15,,,,
A150103,,,A1220,A2221,2012-06-16,2012-09-14,,,,
A150104,002,201,A0700,A001070,2020-06-01,2020-11-12,,,,
A150105,,,ALN,A2364,2008-05-01,2008-12-08,,,,
A150106,002,201,A1220,A2221,2015-06-04,2015-07-07,,,,
